"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a new user can register successfully via POST /register.","250","Register Successful [1] eve.holt@reqres.in, pistol","","Wed Feb 19 14:06:26 GMT 2025","passed","Wed Feb 19 14:06:26 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testRegisterUser"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","191","Single Resource [3] 3, true red","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","204","Single Resource [1] 1, cerulean","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
"Verify that the GET /users/{id} endpoint returns the correct user details.","68","Single User [1] 1, George, Bluth","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:29 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that the GET /users/{id} endpoint returns the correct user details.","61","Single User [3] 3, Emma, Wong","","Wed Feb 19 14:06:29 GMT 2025","passed","Wed Feb 19 14:06:29 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetUserById"
"Verify that an existing user can be updated via PUT /users/{id}.","236","Update User (PUT) [3] 3, Eva, cook","","Wed Feb 19 14:06:26 GMT 2025","passed","Wed Feb 19 14:06:26 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUpdateUser"
"Verify that a non-existent user returns a 404 status code.","41","Single User Not Found","","Wed Feb 19 14:06:32 GMT 2025","passed","Wed Feb 19 14:06:32 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testUserNotFound"
"Verify that an existing user can be updated via PATCH /users/{id}.","221","Update User (PATCH) [2] 2, Janet, president","","Wed Feb 19 14:06:27 GMT 2025","passed","Wed Feb 19 14:06:27 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that the GET /unknown/{id} endpoint returns the correct resource details.","59","Single Resource [2] 2, fuchsia rose","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetResourceById"
"Verify that registration fails when required fields are missing via POST /register.","2234","Register Unsuccessful [1] qwerty","","Wed Feb 19 14:06:22 GMT 2025","passed","Wed Feb 19 14:06:25 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testRegisterUnsuccessfulUser"
"Verify that an existing user can be updated via PATCH /users/{id}.","221","Update User (PATCH) [3] 3, Emma, cook","","Wed Feb 19 14:06:27 GMT 2025","passed","Wed Feb 19 14:06:27 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testPatchUser"
"Verify that a new user can be created via POST /users.","210","Create User [1] George, leader","","Wed Feb 19 14:06:27 GMT 2025","passed","Wed Feb 19 14:06:27 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testCreateUser"
"Verify that the GET /unknown endpoint returns a list of resources.","89","List Resources","","Wed Feb 19 14:06:27 GMT 2025","passed","Wed Feb 19 14:06:27 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testGetAllResources"
"Verify that a user can be deleted via DELETE /users/{id}.","185","Delete User","","Wed Feb 19 14:06:28 GMT 2025","passed","Wed Feb 19 14:06:28 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testDeleteUser"
"Verify that a user can log in successfully via POST /login.","214","Login Successful [1] eve.holt@reqres.in, cityslicka","","Wed Feb 19 14:06:25 GMT 2025","passed","Wed Feb 19 14:06:25 GMT 2025","","reqres.tests.ApiTest","reqres.tests.ApiTest","testLoginUser"
